,08K04,622,basinwide_average
1913-03-01,-999.0,-999.0,-999.9
1913-04-01,-999.0,-999.0,-999.9
1913-05-01,-999.0,-999.0,-999.9
1913-06-01,-999.0,-999.0,-999.9
1913-07-01,-999.0,-999.0,-999.9
1913-08-01,-999.0,-999.0,-999.9
1913-09-01,-999.0,-999.0,-999.9
1913-10-01,-999.0,-999.0,-999.9
1913-11-01,-999.0,-999.0,-999.9
1913-12-01,-999.0,-999.0,-999.9
1914-01-01,-999.0,-999.0,-999.9
1914-02-01,-999.0,-999.0,-999.9
1914-03-01,-999.0,-999.0,-999.9
1914-04-01,-999.0,-999.0,-999.9
1914-05-01,-999.0,-999.0,-999.9
1914-06-01,-999.0,-999.0,-999.9
1914-07-01,-999.0,-999.0,-999.9
1914-08-01,-999.0,-999.0,-999.9
1914-09-01,-999.0,-999.0,-999.9
1914-10-01,-999.0,-999.0,-999.9
1914-11-01,-999.0,-999.0,-999.9
1914-12-01,-999.0,-999.0,-999.9
1915-01-01,-999.0,-999.0,-999.9
1915-02-01,-999.0,-999.0,-999.9
1915-03-01,-999.0,-999.0,-999.9
1915-04-01,-999.0,-999.0,-999.9
1915-05-01,-999.0,-999.0,-999.9
1915-06-01,-999.0,-999.0,-999.9
1915-07-01,-999.0,-999.0,-999.9
1915-08-01,-999.0,-999.0,-999.9
1915-09-01,-999.0,-999.0,-999.9
1915-10-01,-999.0,-999.0,-999.9
1915-11-01,-999.0,-999.0,-999.9
1915-12-01,-999.0,-999.0,-999.9
1916-01-01,-999.0,-999.0,-999.9
1916-02-01,-999.0,-999.0,-999.9
1916-03-01,-999.0,-999.0,-999.9
1916-04-01,-999.0,-999.0,-999.9
1916-05-01,-999.0,-999.0,-999.9
1916-06-01,-999.0,-999.0,-999.9
1916-07-01,-999.0,-999.0,-999.9
1916-08-01,-999.0,-999.0,-999.9
1916-09-01,-999.0,-999.0,-999.9
1916-10-01,-999.0,-999.0,-999.9
1916-11-01,-999.0,-999.0,-999.9
1916-12-01,-999.0,-999.0,-999.9
1917-01-01,-999.0,-999.0,-999.9
1917-02-01,-999.0,-999.0,-999.9
1917-03-01,-999.0,-999.0,-999.9
1917-04-01,-999.0,-999.0,-999.9
1917-05-01,-999.0,-999.0,-999.9
1917-06-01,-999.0,-999.0,-999.9
1917-07-01,-999.0,-999.0,-999.9
1917-08-01,-999.0,-999.0,-999.9
1917-09-01,-999.0,-999.0,-999.9
1917-10-01,-999.0,-999.0,-999.9
1917-11-01,-999.0,-999.0,-999.9
1917-12-01,-999.0,-999.0,-999.9
1918-01-01,-999.0,-999.0,-999.9
1918-02-01,-999.0,-999.0,-999.9
1918-03-01,-999.0,-999.0,-999.9
1918-04-01,-999.0,-999.0,-999.9
1918-05-01,-999.0,-999.0,-999.9
1918-06-01,-999.0,-999.0,-999.9
1918-07-01,-999.0,-999.0,-999.9
1918-08-01,-999.0,-999.0,-999.9
1918-09-01,-999.0,-999.0,-999.9
1918-10-01,-999.0,-999.0,-999.9
1918-11-01,-999.0,-999.0,-999.9
1918-12-01,-999.0,-999.0,-999.9
1919-01-01,-999.0,-999.0,-999.9
1919-02-01,-999.0,-999.0,-999.9
1919-03-01,-999.0,-999.0,-999.9
1919-04-01,-999.0,-999.0,-999.9
1919-05-01,-999.0,-999.0,-999.9
1919-06-01,-999.0,-999.0,-999.9
1919-07-01,-999.0,-999.0,-999.9
1919-08-01,-999.0,-999.0,-999.9
1919-09-01,-999.0,-999.0,-999.9
1919-10-01,-999.0,-999.0,-999.9
1919-11-01,-999.0,-999.0,-999.9
1919-12-01,-999.0,-999.0,-999.9
1920-01-01,-999.0,-999.0,-999.9
1920-02-01,-999.0,-999.0,-999.9
1920-03-01,-999.0,-999.0,-999.9
1920-04-01,-999.0,-999.0,-999.9
1920-05-01,-999.0,-999.0,-999.9
1920-06-01,-999.0,-999.0,-999.9
1920-07-01,-999.0,-999.0,-999.9
1920-08-01,-999.0,-999.0,-999.9
1920-09-01,-999.0,-999.0,-999.9
1920-10-01,-999.0,-999.0,-999.9
1920-11-01,-999.0,-999.0,-999.9
1920-12-01,-999.0,-999.0,-999.9
1921-01-01,-999.0,-999.0,-999.9
1921-02-01,-999.0,-999.0,-999.9
1921-03-01,-999.0,-999.0,-999.9
1921-04-01,-999.0,-999.0,-999.9
1921-05-01,-999.0,-999.0,-999.9
1921-06-01,-999.0,-999.0,-999.9
1921-07-01,-999.0,-999.0,-999.9
1921-08-01,-999.0,-999.0,-999.9
1921-09-01,-999.0,-999.0,-999.9
1921-10-01,-999.0,-999.0,-999.9
1921-11-01,-999.0,-999.0,-999.9
1921-12-01,-999.0,-999.0,-999.9
1922-01-01,-999.0,-999.0,-999.9
1922-02-01,-999.0,-999.0,-999.9
1922-03-01,-999.0,-999.0,-999.9
1922-04-01,-999.0,-999.0,-999.9
1922-05-01,-999.0,-999.0,-999.9
1922-06-01,-999.0,-999.0,-999.9
1922-07-01,-999.0,-999.0,-999.9
1922-08-01,-999.0,-999.0,-999.9
1922-09-01,-999.0,-999.0,-999.9
1922-10-01,-999.0,-999.0,-999.9
1922-11-01,-999.0,-999.0,-999.9
1922-12-01,-999.0,-999.0,-999.9
1923-01-01,-999.0,-999.0,-999.9
1923-02-01,-999.0,-999.0,-999.9
1923-03-01,-999.0,-999.0,-999.9
1923-04-01,-999.0,-999.0,-999.9
1923-05-01,-999.0,-999.0,-999.9
1923-06-01,-999.0,-999.0,-999.9
1923-07-01,-999.0,-999.0,-999.9
1923-08-01,-999.0,-999.0,-999.9
1923-09-01,-999.0,-999.0,-999.9
1923-10-01,-999.0,-999.0,-999.9
1923-11-01,-999.0,-999.0,-999.9
1923-12-01,-999.0,-999.0,-999.9
1924-01-01,-999.0,-999.0,-999.9
1924-02-01,-999.0,-999.0,-999.9
1924-03-01,-999.0,-999.0,-999.9
1924-04-01,-999.0,-999.0,-999.9
1924-05-01,-999.0,-999.0,-999.9
1924-06-01,-999.0,-999.0,-999.9
1924-07-01,-999.0,-999.0,-999.9
1924-08-01,-999.0,-999.0,-999.9
1924-09-01,-999.0,-999.0,-999.9
1924-10-01,-999.0,-999.0,-999.9
1924-11-01,-999.0,-999.0,-999.9
1924-12-01,-999.0,-999.0,-999.9
1925-01-01,-999.0,-999.0,-999.9
1925-02-01,-999.0,-999.0,-999.9
1925-03-01,-999.0,-999.0,-999.9
1925-04-01,-999.0,-999.0,-999.9
1925-05-01,-999.0,-999.0,-999.9
1925-06-01,-999.0,-999.0,-999.9
1925-07-01,-999.0,-999.0,-999.9
1925-08-01,-999.0,-999.0,-999.9
1925-09-01,-999.0,-999.0,-999.9
1925-10-01,-999.0,-999.0,-999.9
1925-11-01,-999.0,-999.0,-999.9
1925-12-01,-999.0,-999.0,-999.9
1926-01-01,-999.0,-999.0,-999.9
1926-02-01,-999.0,-999.0,-999.9
1926-03-01,-999.0,-999.0,-999.9
1926-04-01,-999.0,-999.0,-999.9
1926-05-01,-999.0,-999.0,-999.9
1926-06-01,-999.0,-999.0,-999.9
1926-07-01,-999.0,-999.0,-999.9
1926-08-01,-999.0,-999.0,-999.9
1926-09-01,-999.0,-999.0,-999.9
1926-10-01,-999.0,-999.0,-999.9
1926-11-01,-999.0,-999.0,-999.9
1926-12-01,-999.0,-999.0,-999.9
1927-01-01,-999.0,-999.0,-999.9
1927-02-01,-999.0,-999.0,-999.9
1927-03-01,-999.0,-999.0,-999.9
1927-04-01,-999.0,-999.0,-999.9
1927-05-01,-999.0,-999.0,-999.9
1927-06-01,-999.0,-999.0,-999.9
1927-07-01,-999.0,-999.0,-999.9
1927-08-01,-999.0,-999.0,-999.9
1927-09-01,-999.0,-999.0,-999.9
1927-10-01,-999.0,-999.0,-999.9
1927-11-01,-999.0,-999.0,-999.9
1927-12-01,-999.0,-999.0,-999.9
1928-01-01,-999.0,-999.0,-999.9
1928-02-01,-999.0,-999.0,-999.9
1928-03-01,-999.0,-999.0,-999.9
1928-04-01,-999.0,-999.0,-999.9
1928-05-01,-999.0,-999.0,-999.9
1928-06-01,-999.0,-999.0,-999.9
1928-07-01,-999.0,-999.0,-999.9
1928-08-01,-999.0,-999.0,-999.9
1928-09-01,-999.0,-999.0,-999.9
1928-10-01,-999.0,-999.0,-999.9
1928-11-01,-999.0,-999.0,-999.9
1928-12-01,-999.0,-999.0,-999.9
1929-01-01,-999.0,-999.0,-999.9
1929-02-01,-999.0,-999.0,-999.9
1929-03-01,-999.0,-999.0,-999.9
1929-04-01,-999.0,-999.0,-999.9
1929-05-01,-999.0,-999.0,-999.9
1929-06-01,-999.0,-999.0,-999.9
1929-07-01,-999.0,-999.0,-999.9
1929-08-01,-999.0,-999.0,-999.9
1929-09-01,-999.0,-999.0,-999.9
1929-10-01,-999.0,-999.0,-999.9
1929-11-01,-999.0,-999.0,-999.9
1929-12-01,-999.0,-999.0,-999.9
1930-01-01,-999.0,-999.0,-999.9
1930-02-01,-999.0,-999.0,-999.9
1930-03-01,-999.0,-999.0,-999.9
1930-04-01,-999.0,-999.0,-999.9
1930-05-01,-999.0,-999.0,-999.9
1930-06-01,-999.0,-999.0,-999.9
1930-07-01,-999.0,-999.0,-999.9
1930-08-01,-999.0,-999.0,-999.9
1930-09-01,-999.0,-999.0,-999.9
1930-10-01,-999.0,-999.0,-999.9
1930-11-01,-999.0,-999.0,-999.9
1930-12-01,-999.0,-999.0,-999.9
1931-01-01,-999.0,-999.0,-999.9
1931-02-01,-999.0,-999.0,-999.9
1931-03-01,-999.0,-999.0,-999.9
1931-04-01,-999.0,-999.0,-999.9
1931-05-01,-999.0,-999.0,-999.9
1931-06-01,-999.0,-999.0,-999.9
1931-07-01,-999.0,-999.0,-999.9
1931-08-01,-999.0,-999.0,-999.9
1931-09-01,-999.0,-999.0,-999.9
1931-10-01,-999.0,-999.0,-999.9
1931-11-01,-999.0,-999.0,-999.9
1931-12-01,-999.0,-999.0,-999.9
1932-01-01,-999.0,-999.0,-999.9
1932-02-01,-999.0,-999.0,-999.9
1932-03-01,-999.0,-999.0,-999.9
1932-04-01,-999.0,-999.0,-999.9
1932-05-01,-999.0,-999.0,-999.9
1932-06-01,-999.0,-999.0,-999.9
1932-07-01,-999.0,-999.0,-999.9
1932-08-01,-999.0,-999.0,-999.9
1932-09-01,-999.0,-999.0,-999.9
1932-10-01,-999.0,-999.0,-999.9
1932-11-01,-999.0,-999.0,-999.9
1932-12-01,-999.0,-999.0,-999.9
1933-01-01,-999.0,-999.0,-999.9
1933-02-01,-999.0,-999.0,-999.9
1933-03-01,-999.0,-999.0,-999.9
1933-04-01,-999.0,-999.0,-999.9
1933-05-01,-999.0,-999.0,-999.9
1933-06-01,-999.0,-999.0,-999.9
1933-07-01,-999.0,-999.0,-999.9
1933-08-01,-999.0,-999.0,-999.9
1933-09-01,-999.0,-999.0,-999.9
1933-10-01,-999.0,-999.0,-999.9
1933-11-01,-999.0,-999.0,-999.9
1933-12-01,-999.0,-999.0,-999.9
1934-01-01,-999.0,-999.0,-999.9
1934-02-01,-999.0,-999.0,-999.9
1934-03-01,-999.0,-999.0,-999.9
1934-04-01,-999.0,-999.0,-999.9
1934-05-01,-999.0,-999.0,-999.9
1934-06-01,-999.0,-999.0,-999.9
1934-07-01,-999.0,-999.0,-999.9
1934-08-01,-999.0,-999.0,-999.9
1934-09-01,-999.0,-999.0,-999.9
1934-10-01,-999.0,-999.0,-999.9
1934-11-01,-999.0,-999.0,-999.9
1934-12-01,-999.0,-999.0,-999.9
1935-01-01,-999.0,-999.0,-999.9
1935-02-01,-999.0,-999.0,-999.9
1935-03-01,-999.0,-999.0,-999.9
1935-04-01,-999.0,-999.0,-999.9
1935-05-01,-999.0,-999.0,-999.9
1935-06-01,-999.0,-999.0,-999.9
1935-07-01,-999.0,-999.0,-999.9
1935-08-01,-999.0,-999.0,-999.9
1935-09-01,-999.0,-999.0,-999.9
1935-10-01,-999.0,-999.0,-999.9
1935-11-01,-999.0,-999.0,-999.9
1935-12-01,-999.0,-999.0,-999.9
1936-01-01,-999.0,-999.0,-999.9
1936-02-01,-999.0,-999.0,-999.9
1936-03-01,-999.0,-999.0,-999.9
1936-04-01,-999.0,-999.0,-999.9
1936-05-01,-999.0,-999.0,-999.9
1936-06-01,-999.0,-999.0,-999.9
1936-07-01,-999.0,-999.0,-999.9
1936-08-01,-999.0,-999.0,-999.9
1936-09-01,-999.0,-999.0,-999.9
1936-10-01,-999.0,-999.0,-999.9
1936-11-01,-999.0,-999.0,-999.9
1936-12-01,-999.0,-999.0,-999.9
1937-01-01,-999.0,-999.0,-999.9
1937-02-01,-999.0,-999.0,-999.9
1937-03-01,12.8,-999.0,0.6932748726545876
1937-04-01,16.7,-999.0,0.9045070604165323
1937-05-01,16.7,-999.0,0.9045070604165323
1937-06-01,16.7,-999.0,0.9045070604165323
1937-07-01,16.7,-999.0,0.9045070604165323
1937-08-01,16.7,-999.0,0.9045070604165323
1937-09-01,16.7,-999.0,0.9045070604165323
1937-10-01,0.0,-999.0,0.0
1937-11-01,0.0,-999.0,0.0
1937-12-01,0.0,-999.0,0.0
1938-01-01,0.0,-999.0,0.0
1938-02-01,7.8,-999.0,0.4224643755238893
1938-03-01,10.7,-999.0,0.5795344638596943
1938-04-01,18.6,-999.0,1.0074150493261977
1938-05-01,18.6,-999.0,1.0074150493261977
1938-06-01,18.6,-999.0,1.0074150493261977
1938-07-01,18.6,-999.0,1.0074150493261977
1938-08-01,18.6,-999.0,1.0074150493261977
1938-09-01,18.6,-999.0,1.0074150493261977
1938-10-01,0.0,-999.0,0.0
1938-11-01,0.0,-999.0,0.0
1938-12-01,0.0,-999.0,0.0
1939-01-01,0.0,-999.0,0.0
1939-02-01,9.9,-999.0,0.5362047843187826
1939-03-01,14.9,-999.0,0.807015281449481
1939-04-01,15.0,-999.0,0.8124314913920949
1939-05-01,15.0,-999.0,0.8124314913920949
1939-06-01,15.0,-999.0,0.8124314913920949
1939-07-01,15.0,-999.0,0.8124314913920949
1939-08-01,15.0,-999.0,0.8124314913920949
1939-09-01,15.0,-999.0,0.8124314913920949
1939-10-01,0.0,-999.0,0.0
1939-11-01,0.0,-999.0,0.0
1939-12-01,0.0,-999.0,0.0
1940-01-01,0.0,-999.0,0.0
1940-02-01,7.7,-999.0,0.4170481655812754
1940-03-01,14.2,-999.0,0.7691018118511831
1940-04-01,18.1,-999.0,0.980333999613128
1940-05-01,18.1,-999.0,0.980333999613128
1940-06-01,18.1,-999.0,0.980333999613128
1940-07-01,18.1,-999.0,0.980333999613128
1940-08-01,18.1,-999.0,0.980333999613128
1940-09-01,18.1,-999.0,0.980333999613128
1940-10-01,0.0,-999.0,0.0
1940-11-01,0.0,-999.0,0.0
1940-12-01,0.0,-999.0,0.0
1941-01-01,0.0,-999.0,0.0
1941-02-01,13.4,-999.0,0.7257721323102715
1941-03-01,18.2,-999.0,0.9857502095557418
1941-04-01,23.7,-999.0,1.28364175639951
1941-05-01,27.5,-999.0,1.4894577342188406
1941-06-01,27.5,-999.0,1.4894577342188406
1941-07-01,27.5,-999.0,1.4894577342188406
1941-08-01,27.5,-999.0,1.4894577342188406
1941-09-01,27.5,-999.0,1.4894577342188406
1941-10-01,0.0,-999.0,0.0
1941-11-01,0.0,-999.0,0.0
1941-12-01,0.0,-999.0,0.0
1942-01-01,0.0,-999.0,0.0
1942-02-01,11.0,-999.0,0.5957830936875362
1942-03-01,17.2,-999.0,0.9315881101296021
1942-04-01,23.5,-999.0,1.272809336514282
1942-05-01,26.5,-999.0,1.435295634792701
1942-06-01,26.5,-999.0,1.435295634792701
1942-07-01,26.5,-999.0,1.435295634792701
1942-08-01,26.5,-999.0,1.435295634792701
1942-09-01,26.5,-999.0,1.435295634792701
1942-10-01,0.0,-999.0,0.0
1942-11-01,0.0,-999.0,0.0
1942-12-01,0.0,-999.0,0.0
1943-01-01,0.0,-999.0,0.0
1943-02-01,5.8,-999.0,0.31414017667161004
1943-03-01,8.6,-999.0,0.46579405506480104
1943-04-01,12.8,-999.0,0.6932748726545876
1943-05-01,12.8,-999.0,0.6932748726545876
1943-06-01,12.8,-999.0,0.6932748726545876
1943-07-01,12.8,-999.0,0.6932748726545876
1943-08-01,12.8,-999.0,0.6932748726545876
1943-09-01,12.8,-999.0,0.6932748726545876
1943-10-01,0.0,-999.0,0.0
1943-11-01,0.0,-999.0,0.0
1943-12-01,0.0,-999.0,0.0
1944-01-01,0.0,-999.0,0.0
1944-02-01,9.7,-999.0,0.5253723644335546
1944-03-01,12.0,-999.0,0.6499451931136759
1944-04-01,18.0,-999.0,0.9749177896705139
1944-05-01,22.9,-999.0,1.240312076858598
1944-06-01,22.9,-999.0,1.240312076858598
1944-07-01,22.9,-999.0,1.240312076858598
1944-08-01,22.9,-999.0,1.240312076858598
1944-09-01,22.9,-999.0,1.240312076858598
1944-10-01,0.0,-999.0,0.0
1944-11-01,0.0,-999.0,0.0
1944-12-01,0.0,-999.0,0.0
1945-01-01,0.0,-999.0,0.0
1945-02-01,8.6,-999.0,0.46579405506480104
1945-03-01,14.1,-999.0,0.7636856019085692
1945-04-01,20.7,-999.0,1.121155458121091
1945-05-01,23.0,-999.0,1.245728286801212
1945-06-01,23.0,-999.0,1.245728286801212
1945-07-01,23.0,-999.0,1.245728286801212
1945-08-01,23.0,-999.0,1.245728286801212
1945-09-01,23.0,-999.0,1.245728286801212
1945-10-01,0.0,-999.0,0.0
1945-11-01,0.0,-999.0,0.0
1945-12-01,0.0,-999.0,0.0
1946-01-01,0.0,-999.0,0.0
1946-02-01,5.7,-999.0,0.30872396672899605
1946-03-01,6.7,-999.0,0.36288606615513574
1946-04-01,11.9,-999.0,0.644528983171062
1946-05-01,11.9,-999.0,0.644528983171062
1946-06-01,11.9,-999.0,0.644528983171062
1946-07-01,11.9,-999.0,0.644528983171062
1946-08-01,11.9,-999.0,0.644528983171062
1946-09-01,11.9,-999.0,0.644528983171062
1946-10-01,0.0,-999.0,0.0
1946-11-01,0.0,-999.0,0.0
1946-12-01,0.0,-999.0,0.0
1947-01-01,0.0,-999.0,0.0
1947-02-01,10.0,-999.0,0.5416209942613965
1947-03-01,13.5,-999.0,0.7311883422528854
1947-04-01,17.2,-999.0,0.9315881101296021
1947-05-01,18.5,-999.0,1.0019988393835837
1947-06-01,18.5,-999.0,1.0019988393835837
1947-07-01,18.5,-999.0,1.0019988393835837
1947-08-01,18.5,-999.0,1.0019988393835837
1947-09-01,18.5,-999.0,1.0019988393835837
1947-10-01,0.0,-999.0,0.0
1947-11-01,0.0,-999.0,0.0
1947-12-01,0.0,-999.0,0.0
1948-01-01,0.0,-999.0,0.0
1948-02-01,10.0,-999.0,0.5416209942613965
1948-03-01,15.7,-999.0,0.8503449609903926
1948-04-01,21.1,-999.0,1.142820297891547
1948-05-01,21.1,-999.0,1.142820297891547
1948-06-01,21.1,-999.0,1.142820297891547
1948-07-01,21.1,-999.0,1.142820297891547
1948-08-01,21.1,-999.0,1.142820297891547
1948-09-01,21.1,-999.0,1.142820297891547
1948-10-01,0.0,-999.0,0.0
1948-11-01,0.0,-999.0,0.0
1948-12-01,0.0,-999.0,0.0
1949-01-01,0.0,-999.0,0.0
1949-02-01,12.9,-999.0,0.6986910825972016
1949-03-01,14.6,-999.0,0.790766651621639
1949-04-01,18.5,-999.0,1.0019988393835837
1949-05-01,18.5,-999.0,1.0019988393835837
1949-06-01,18.5,-999.0,1.0019988393835837
1949-07-01,18.5,-999.0,1.0019988393835837
1949-08-01,18.5,-999.0,1.0019988393835837
1949-09-01,18.5,-999.0,1.0019988393835837
1949-10-01,0.0,-999.0,0.0
1949-11-01,0.0,-999.0,0.0
1949-12-01,0.0,-999.0,0.0
1950-01-01,0.0,-999.0,0.0
1950-02-01,9.7,-999.0,0.5253723644335546
1950-03-01,12.2,-999.0,0.6607776129989038
1950-04-01,15.4,-999.0,0.8340963311625508
1950-05-01,15.4,-999.0,0.8340963311625508
1950-06-01,15.4,-999.0,0.8340963311625508
1950-07-01,15.4,-999.0,0.8340963311625508
1950-08-01,15.4,-999.0,0.8340963311625508
1950-09-01,15.4,-999.0,0.8340963311625508
1950-10-01,0.0,-999.0,0.0
1950-11-01,0.0,-999.0,0.0
1950-12-01,0.0,-999.0,0.0
1951-01-01,0.0,-999.0,0.0
1951-02-01,6.3,-999.0,0.34122122638467983
1951-03-01,10.4,-999.0,0.5632858340318525
1951-04-01,11.0,-999.0,0.5957830936875362
1951-05-01,11.0,-999.0,0.5957830936875362
1951-06-01,11.0,-999.0,0.5957830936875362
1951-07-01,11.0,-999.0,0.5957830936875362
1951-08-01,11.0,-999.0,0.5957830936875362
1951-09-01,11.0,-999.0,0.5957830936875362
1951-10-01,0.0,-999.0,0.0
1951-11-01,0.0,-999.0,0.0
1951-12-01,0.0,-999.0,0.0
1952-01-01,0.0,-999.0,0.0
1952-02-01,17.4,-999.0,0.94242053001483
1952-03-01,20.8,-999.0,1.126571668063705
1952-04-01,27.6,-999.0,1.4948739441614547
1952-05-01,27.6,-999.0,1.4948739441614547
1952-06-01,27.6,-999.0,1.4948739441614547
1952-07-01,27.6,-999.0,1.4948739441614547
1952-08-01,27.6,-999.0,1.4948739441614547
1952-09-01,27.6,-999.0,1.4948739441614547
1952-10-01,0.0,-999.0,0.0
1952-11-01,0.0,-999.0,0.0
1952-12-01,0.0,-999.0,0.0
1953-01-01,0.0,-999.0,0.0
1953-02-01,9.8,-999.0,0.5307885743761687
1953-03-01,11.1,-999.0,0.6011993036301502
1953-04-01,15.0,-999.0,0.8124314913920949
1953-05-01,15.0,-999.0,0.8124314913920949
1953-06-01,15.0,-999.0,0.8124314913920949
1953-07-01,15.0,-999.0,0.8124314913920949
1953-08-01,15.0,-999.0,0.8124314913920949
1953-09-01,15.0,-999.0,0.8124314913920949
1953-10-01,0.0,-999.0,0.0
1953-11-01,0.0,-999.0,0.0
1953-12-01,0.0,-999.0,0.0
1954-01-01,0.0,-999.0,0.0
1954-02-01,10.0,-999.0,0.5416209942613965
1954-03-01,11.7,-999.0,0.633696563285834
1954-04-01,16.7,-999.0,0.9045070604165323
1954-05-01,16.7,-999.0,0.9045070604165323
1954-06-01,16.7,-999.0,0.9045070604165323
1954-07-01,16.7,-999.0,0.9045070604165323
1954-08-01,16.7,-999.0,0.9045070604165323
1954-09-01,16.7,-999.0,0.9045070604165323
1954-10-01,0.0,-999.0,0.0
1954-11-01,0.0,-999.0,0.0
1954-12-01,0.0,-999.0,0.0
1955-01-01,0.0,-999.0,0.0
1955-02-01,10.2,-999.0,0.5524534141466245
1955-03-01,14.1,-999.0,0.7636856019085692
1955-04-01,17.6,-999.0,0.953252949900058
1955-05-01,17.6,-999.0,0.953252949900058
1955-06-01,17.6,-999.0,0.953252949900058
1955-07-01,17.6,-999.0,0.953252949900058
1955-08-01,17.6,-999.0,0.953252949900058
1955-09-01,17.6,-999.0,0.953252949900058
1955-10-01,0.0,-999.0,0.0
1955-11-01,0.0,-999.0,0.0
1955-12-01,0.0,-999.0,0.0
1956-01-01,0.0,-999.0,0.0
1956-02-01,12.2,-999.0,0.6607776129989038
1956-03-01,15.2,-999.0,0.8232639112773228
1956-04-01,15.2,-999.0,0.8232639112773228
1956-05-01,15.2,-999.0,0.8232639112773228
1956-06-01,15.2,-999.0,0.8232639112773228
1956-07-01,15.2,-999.0,0.8232639112773228
1956-08-01,15.2,-999.0,0.8232639112773228
1956-09-01,15.2,-999.0,0.8232639112773228
1956-10-01,0.0,-999.0,0.0
1956-11-01,0.0,-999.0,0.0
1956-12-01,0.0,-999.0,0.0
1957-01-01,0.0,-999.0,0.0
1957-02-01,14.8,-999.0,0.801599071506867
1957-03-01,17.2,-999.0,0.9315881101296021
1957-04-01,22.3,-999.0,1.2078148172029144
1957-05-01,27.4,-999.0,1.4840415242762266
1957-06-01,27.4,-999.0,1.4840415242762266
1957-07-01,27.4,-999.0,1.4840415242762266
1957-08-01,27.4,-999.0,1.4840415242762266
1957-09-01,27.4,-999.0,1.4840415242762266
1957-10-01,0.0,-999.0,0.0
1957-11-01,0.0,-999.0,0.0
1957-12-01,0.0,-999.0,0.0
1958-01-01,0.0,-999.0,0.0
1958-02-01,16.0,-999.0,0.8665935908182345
1958-03-01,22.1,-999.0,1.1969823973176865
1958-04-01,27.6,-999.0,1.4948739441614547
1958-05-01,27.6,-999.0,1.4948739441614547
1958-06-01,27.6,-999.0,1.4948739441614547
1958-07-01,27.6,-999.0,1.4948739441614547
1958-08-01,27.6,-999.0,1.4948739441614547
1958-09-01,27.6,-999.0,1.4948739441614547
1958-10-01,0.0,-999.0,0.0
1958-11-01,0.0,-999.0,0.0
1958-12-01,0.0,-999.0,0.0
1959-01-01,0.0,-999.0,0.0
1959-02-01,6.7,-999.0,0.36288606615513574
1959-03-01,12.0,-999.0,0.6499451931136759
1959-04-01,15.9,-999.0,0.8611773808756206
1959-05-01,15.9,-999.0,0.8611773808756206
1959-06-01,15.9,-999.0,0.8611773808756206
1959-07-01,15.9,-999.0,0.8611773808756206
1959-08-01,15.9,-999.0,0.8611773808756206
1959-09-01,15.9,-999.0,0.8611773808756206
1959-10-01,0.0,-999.0,0.0
1959-11-01,0.0,-999.0,0.0
1959-12-01,0.0,-999.0,0.0
1960-01-01,0.0,-999.0,0.0
1960-02-01,9.1,-999.0,0.4928751047778709
1960-03-01,14.9,-999.0,0.807015281449481
1960-04-01,20.5,-999.0,1.110323038235863
1960-05-01,20.5,-999.0,1.110323038235863
